product_category_name,product_category_name_english,source_record_number,missing_key,duplicate_key
beleza_saude,health_beauty,1,False,False
informatica_acessorios,computers_accessories,2,False,False
automotivo,auto,3,False,False
cama_mesa_banho,bed_bath_table,4,False,False
moveis_decoracao,furniture_decor,5,False,False
esporte_lazer,sports_leisure,6,False,False
perfumaria,perfumery,7,False,False
utilidades_domesticas,housewares,8,False,False
telefonia,telephony,9,False,False
relogios_presentes,watches_gifts,10,False,False
alimentos_bebidas,food_drink,11,False,False
bebes,baby,12,False,False
papelaria,stationery,13,False,False
tablets_impressao_imagem,tablets_printing_image,14,False,False
brinquedos,toys,15,False,False
telefonia_fixa,fixed_telephony,16,False,False
ferramentas_jardim,garden_tools,17,False,False
fashion_bolsas_e_acessorios,fashion_bags_accessories,18,False,False
eletroportateis,small_appliances,19,False,False
consoles_games,consoles_games,20,False,False
audio,audio,21,False,False
fashion_calcados,fashion_shoes,22,False,False
cool_stuff,cool_stuff,23,False,False
malas_acessorios,luggage_accessories,24,False,False
climatizacao,air_conditioning,25,False,False
construcao_ferramentas_construcao,construction_tools_construction,26,False,False
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,27,False,False
construcao_ferramentas_jardim,costruction_tools_garden,28,False,False
fashion_roupa_masculina,fashion_male_clothing,29,False,False
pet_shop,pet_shop,30,False,False
moveis_escritorio,office_furniture,31,False,False
market_place,market_place,32,False,False
eletronicos,electronics,33,False,False
eletrodomesticos,home_appliances,34,False,False
artigos_de_festas,party_supplies,35,False,False
casa_conforto,home_confort,36,False,False
construcao_ferramentas_ferramentas,costruction_tools_tools,37,False,False
agro_industria_e_comercio,agro_industry_and_commerce,38,False,False
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,39,False,False
livros_tecnicos,books_technical,40,False,False
casa_construcao,home_construction,41,False,False
instrumentos_musicais,musical_instruments,42,False,False
moveis_sala,furniture_living_room,43,False,False
construcao_ferramentas_iluminacao,construction_tools_lights,44,False,False
industria_comercio_e_negocios,industry_commerce_and_business,45,False,False
alimentos,food,46,False,False
artes,art,47,False,False
moveis_quarto,furniture_bedroom,48,False,False
livros_interesse_geral,books_general_interest,49,False,False
construcao_ferramentas_seguranca,construction_tools_safety,50,False,False
fashion_underwear_e_moda_praia,fashion_underwear_beach,51,False,False
fashion_esporte,fashion_sport,52,False,False
sinalizacao_e_seguranca,signaling_and_security,53,False,False
pcs,computers,54,False,False
artigos_de_natal,christmas_supplies,55,False,False
fashion_roupa_feminina,fashio_female_clothing,56,False,False
eletrodomesticos_2,home_appliances_2,57,False,False
livros_importados,books_imported,58,False,False
bebidas,drinks,59,False,False
cine_foto,cine_photo,60,False,False
la_cuisine,la_cuisine,61,False,False
musica,music,62,False,False
casa_conforto_2,home_comfort_2,63,False,False
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,64,False,False
cds_dvds_musicais,cds_dvds_musicals,65,False,False
dvds_blu_ray,dvds_blu_ray,66,False,False
flores,flowers,67,False,False
artes_e_artesanato,arts_and_craftmanship,68,False,False
fraldas_higiene,diapers_and_hygiene,69,False,False
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,70,False,False
seguros_e_servicos,security_and_services,71,False,False
